type,original_name,suggested_canonical_name,score
subsubcategory,undefined,Spiderman Cakes,1.000
subsubcategory,undefined,Succulent Plants,1.000
subsubcategory,undefined,Chocolates and Sweets,1.000
subsubcategory,undefined,Sweets and Flowers,1.000
subsubcategory,undefined,Theme 1,1.000
subsubcategory,undefined,Theme 2,1.000
subsubcategory,undefined,Theme 3,1.000
subsubcategory,undefined,Theme 4,1.000
subsubcategory,undefined,Theme 5,1.000
subsubcategory,undefined,Theme Balloons,1.000
subsubcategory,undefined,Theme Bouquets,1.000
subsubcategory,undefined,Theme Chocolates,1.000
subsubcategory,undefined,Theme Combos,1.000
subsubcategory,undefined,Theme Cushions,1.000
subsubcategory,undefined,Theme Dry Fruits,1.000
subsubcategory,undefined,Theme Plants,1.000
subsubcategory,undefined,Tier Cakes,1.000
subsubcategory,undefined,Titan Watches,1.000
subsubcategory,undefined,Truffle Cakes,1.000
subsubcategory,undefined,Type 1,1.000
subsubcategory,undefined,Type 2,1.000
subsubcategory,undefined,Type 3,1.000
subsubcategory,undefined,Type 4,1.000
subsubcategory,undefined,Type 5,1.000
subsubcategory,undefined,Unicorn Cakes,1.000
subsubcategory,undefined,Vanilla Cakes,1.000
subsubcategory,undefined,Variety 1,1.000
subsubcategory,undefined,Variety 2,1.000
subsubcategory,undefined,Variety 3,1.000
subsubcategory,undefined,Variety 4,1.000
subsubcategory,undefined,Variety 5,1.000
subsubcategory,undefined,White Flowers,1.000
subsubcategory,undefined,Yellow Flowers,1.000
